CRASH_DATE,COUNT
2018-11-04,359
2018-11-05,373
2018-11-06,345
2018-11-07,282
2018-11-08,284
2018-11-09,384
2018-11-10,305
2018-11-11,263
2018-11-12,242
2018-11-13,360
2018-11-14,276
2018-11-15,400
2018-11-16,323
2018-11-17,382
2018-11-18,262
2018-11-19,326
2018-11-20,330
2018-11-21,270
2018-11-22,179
2018-11-23,241
2018-11-24,267
2018-11-25,241
2018-11-26,408
2018-11-27,369
2018-11-28,327
2018-11-29,318
2018-11-30,424
2018-12-01,350
2018-12-02,295
2018-12-03,328
2018-12-04,288
2018-12-05,319
2018-12-06,317
2018-12-07,390
2018-12-08,322
2018-12-09,261
2018-12-10,337
2018-12-11,352
2018-12-12,333
2018-12-13,417
2018-12-14,419
2018-12-15,331
2018-12-16,355
2018-12-17,331
2018-12-18,352
2018-12-19,319
2018-12-20,339
2018-12-21,383
2018-12-22,313
2018-12-23,268
2018-12-24,237
2018-12-25,156
2018-12-26,244
2018-12-27,308
2018-12-28,287
2018-12-29,414
2018-12-30,274
2018-12-31,382
2019-01-01,299
2019-01-02,212
2019-01-03,299
2019-01-04,278
2019-01-05,268
2019-01-06,189
2019-01-07,281
2019-01-08,235
2019-01-09,254
2019-01-10,243
2019-01-11,301
2019-01-12,583
2019-01-13,211
2019-01-14,271
2019-01-15,273
2019-01-16,307
2019-01-17,284
2019-01-18,315
2019-01-19,248
2019-01-20,246
2019-01-21,279
2019-01-22,305
2019-01-23,326
2019-01-24,387
2019-01-25,365
2019-01-26,320
2019-01-27,274
2019-01-28,343
2019-01-29,376
2019-01-30,177
2019-01-31,367
2019-02-01,396
2019-02-02,308
2019-02-03,218
2019-02-04,274
2019-02-05,297
2019-02-06,247
2019-02-07,334
2019-02-08,363
2019-02-09,293
2019-02-10,296
2019-02-11,353
2019-02-12,308
2019-02-13,383
2019-02-14,372
2019-02-15,351
2019-02-16,255
2019-02-17,245
2019-02-18,282
2019-02-19,309
2019-02-20,287
2019-02-21,279
2019-02-22,348
2019-02-23,348
2019-02-24,240
2019-02-25,286
